- - - [15/Mar/2023:13:32:41 -0400] "GET /v1/ports?fields=address%2Cextra HTTP/1.1" 200 13 461377 "-" "ironic-inspector keystoneauth1/5.1.0 python-requests/2.28.1 CPython/3.9.14"
- - - [15/Mar/2023:13:32:41 -0400] "GET /v1/ports?fields=address%2Cextra HTTP/1.1" 200 13 506691 "-" "ironic-inspector keystoneauth1/5.1.0 python-requests/2.28.1 CPython/3.9.14"
- - - [15/Mar/2023:13:32:56 -0400] "GET /v1/ports?fields=address%2Cextra HTTP/1.1" 200 13 678896 "-" "ironic-inspector keystoneauth1/5.1.0 python-requests/2.28.1 CPython/3.9.14"
- - - [15/Mar/2023:13:32:56 -0400] "GET /v1/ports?fields=address%2Cextra HTTP/1.1" 200 13 702135 "-" "ironic-inspector keystoneauth1/5.1.0 python-requests/2.28.1 CPython/3.9.14"
- - - [15/Mar/2023:13:33:11 -0400] "GET /v1/ports?fields=address%2Cextra HTTP/1.1" 200 13 588976 "-" "ironic-inspector keystoneauth1/5.1.0 python-requests/2.28.1 CPython/3.9.14"
- - - [15/Mar/2023:13:33:11 -0400] "GET /v1/ports?fields=address%2Cextra HTTP/1.1" 200 13 422874 "-" "ironic-inspector keystoneauth1/5.1.0 python-requests/2.28.1 CPython/3.9.14"
- - - [15/Mar/2023:13:33:26 -0400] "GET /v1/nodes?fields=uuid HTTP/1.1" 200 13 430402 "-" "ironic-inspector keystoneauth1/5.1.0 python-requests/2.28.1 CPython/3.9.14"
- - - [15/Mar/2023:13:33:26 -0400] "GET /v1/ports?fields=address%2Cextra HTTP/1.1" 200 13 472154 "-" "ironic-inspector keystoneauth1/5.1.0 python-requests/2.28.1 CPython/3.9.14"
- - - [15/Mar/2023:13:33:26 -0400] "GET /v1/ports?fields=address%2Cextra HTTP/1.1" 200 13 398510 "-" "ironic-inspector keystoneauth1/5.1.0 python-requests/2.28.1 CPython/3.9.14"
- - - [15/Mar/2023:13:33:41 -0400] "GET /v1/ports?fields=address%2Cextra HTTP/1.1" 200 13 576748 "-" "ironic-inspector keystoneauth1/5.1.0 python-requests/2.28.1 CPython/3.9.14"
- - - [15/Mar/2023:13:33:41 -0400] "GET /v1/ports?fields=address%2Cextra HTTP/1.1" 200 13 459415 "-" "ironic-inspector keystoneauth1/5.1.0 python-requests/2.28.1 CPython/3.9.14"
