Mar 15 20:56:14 dnsmasq[6]: started, version 2.85 DNS disabled
Mar 15 20:56:14 dnsmasq[6]: compile time options: IPv6 GNU-getopt DBus no-UBus no-i18n IDN2 DHCP DHCPv6 no-Lua TFTP no-conntrack ipset auth cryptohash DNSSEC loop-detect inotify dumpfile
Mar 15 20:56:14 dnsmasq[6]: LOUD WARNING: listening on 169.16.1.188 may accept requests via interfaces other than eth0
Mar 15 20:59:19 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) ec:b1:d7:83:f4:80 ignored
Mar 15 20:59:24 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 70:10:6f:b4:cd:b6 ignored
Mar 15 20:59:28 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) ec:b1:d7:83:f4:80 ignored
Mar 15 20:59:31 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 70:10:6f:b4:cd:b6 ignored
Mar 15 20:59:38 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 70:10:6f:b4:cd:b6 ignored
Mar 15 20:59:44 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 70:10:6f:b4:cd:b6 ignored
Mar 15 20:59:44 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) ec:b1:d7:83:f4:80 ignored
Mar 15 21:01:29 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) fa:16:3e:96:c3:14 ignored
Mar 15 21:01:40 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) fa:16:3e:96:c3:14 ignored
Mar 15 21:03:19 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) ec:b1:d7:83:74:40 ignored
Mar 15 21:03:21 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:57:a5:55:9f:34 ignored
